"Mentions","BibtexKey","Contribution","Characteristics","Rationale","Notes"
"Boehm [1]Boehm et al. [18]"," Boehm1976","model","internal characteristics","logical implication"," A comprehensive quality model for source code with a hierarchy of quality attributes and relevant metrics.s States that statistical evaluation of correlations between metrics and quality attributes is subjective"
"McCall [2]McCall et al. [14, 114]"," McCall1977","model","internal characteristics","logical implication,literature-based,empirical-experts"," Evaluated their quality model using Air Fore applications. Extensive description of quality attributes and metrics which have been derived from literature, experts and own reasoning."
"Dromey [3]Dromey [30]"," Dromey1995","model","internal characteristics","logical implication"," Comprehensive quality model with measures on the level of source code"
"ISO9126 [7, 22, 62, 72, 77, 104, 105, 121, 147]"," ISO/IEC2001","model","internal characteristics,external characteristics","logical implication,empirical-experts"," The ISO 9126 standard itself."
"ProcessQuality [7]"," Satpathy2001","model","internal characteristics","logical implication"," A quality model for processes with quality attributes and subattributes, but without metrics. Also based on ISO 9126."
"S29 [50] A hierarchical model for object-oriented design quality assessment 2002QMOOD [8]"," Bansiya2002","model","internal characteristics","literature-based,empirical-experts"," A quality model to evaluate object-oriented software, Quality aspects and product factors have been defined and connected with metrics. For the mapping between product factors and quality aspects a literature search was used which was however described quite shortly (it included the model Dromey1995). To validate the overall useability of the model in terms of how good it works in asssessing quality, the results were compared and correlated with expert judgements."
"S25 [24] Legacy System Exorcism by Pareto’s Principle 2005"," Kvam2005","method,model","internal characteristics,external characteristics","logical implication"," An evaluation of a process for legacy software improvement through reengineering. For the evaluation internal characteristics to rate the system quality are used and external characteristics are used to rate the productivity."
"Alvaro [13]"," Alvaro2005","model","internal characteristics,external characteristics","logical implication,literature-based"," A proposal for a comprehensive software component quality model which is based on ISO 9126 and considers internal characteristics as well as external characteristics. The model is proposed, but not validated, which might be planned for future work."
"Lee_CBD [14]"," Lee2005","model","internal characteristics,external characteristics","literature-based,empirical-experts"," Application of the ISO 9126 standard to evaluate software architecture with the main contribution of assigning weights to the impacts from quality subattributes on higher-level quality attributes. Weights are assigned based on a survey among experts who should rate the importance of different quality attributes."
"COTS [15]"," Rawashdeh2006","model","internal characteristics,external characteristics","literature-based"," A quality model specifically for commercial of the shelf software (COTS) which builds upon the quality model by Dromey1995 and the ISO 9126 standard. However, it seems to be a proposal and no further validation is done."
"Wedier D. Yu et al. [51]"," Yu2007","model","internal characteristics,external characteristics","logical implication"," A comprehensive discussion of quality aspects of Web Services where for each quality aspect techniques for improvement are described and reasoned."
"ABQM [16]"," Deissenboeck2007","model,meta-model","internal characteristics","logical implication"," A new type of quality model which builds on the existing factor-criteria-metric models, but splits criteria into facts and activities. The relationships are reasoned, but not further validated. Furthermore a meta-model to define quality models of this new type is presented."
"DevApproach [17]"," Dominguez2007","model","internal characteristics","literature-based"," A software quality model combing different views (system, object-oriented, component, web) and integrating quality attributes and metrics from previous literature based on the ISO 9126 standard."
"S21 [44] DEQUALITE: building design-based software quality models 2008DEQUALITE [18]"," Khomh2008b","model","internal characteristics","empirical-survey"," A quality model for object-oriented software which integrates design patterns and their impacts on quality attributes. The relationships between design patterns and quality attributes are based on a survey."
"S24 [47] The SQO-OSS quality model: Measurement based open source software evaluation 2008"," Samoladas2008","model","internal characteristics,external characteristics","literature-based,empirical-experts"," A new quality model for object-oriented open source software which considers the software as such based on its code as well as aspects of the open source community developing it. Quality attributes and their relations are derived from the ISO 9126 standard and expert interviews in the form of an online discussion board where the model was presented and practitioners could comment and propose changes."
"S-Cube Quality Reference Model [8]"," Gehlert2008","model","internal characteristics,external characteristics","literature-based"," A quality reference model for service-based applications which is a combination of several previous models, such as ISO 9126, and integrates it into a comprehensive quality model with various quality attributes. The model is merely proposed in the paper and no further validation has been done."
"ISO9126 [7, 22, 62, 72, 77, 104, 105, 121, 147]"," Kanellopoulos2008","model","internal characteristics","literature-based"," A quality model for software focusing on source code metrics which uses the ISO 9126 standard and clustering techniques to rate a set of software systems. The focus is on the metrics not on relationships between quality attributes."
"S19 [43] OQMw: An OO Quality Model for Web Applications 2009"," Marchetto2009","model","internal characteristics","literature-based"," A quality model for web applications considering metrics from models for Object-oriented software. The relationships between quality attributes are claimed to be validated using both literature and an empirical process, however no detailed information on it could be found. The empirical evaluation is claimed to be based on software repositories, but it is unclear how exactly this has been used to validate relationships between quality attributes."
"Kim and Lee [81]"," Kim2009","model","internal characteristics","literature-based,empirical-experts"," A quality model for consumer electronic products based on the ISO 9126 standard. The relationships between quality attributes and metrics are derived from the standard and from discussions with software engineering experts."
"S16 [40] Quality models for Free/Libre Open Source Software - towards the “Silver Bullet”? 2010"," Glott2010","model","internal characteristics,external characteristics","literature-based"," A quality model specifically for open source software which is based on previously proposed quality models from the literature."
"QFacto [27]"," Kalaimagal2010","model","internal characteristics,external characteristics","logical implication"," A quality model for commercial of the shelf software based on the ISO 25000 standard. The quality attributes and metrics are not presented in detail and difficult to read in the figure. The quality model seems like a proposal and relationships within the model are not further validated."
"CMQuality [28]"," Mehmood2010,Mehmood2009","model","internal characteristics,external characteristics","literature-based,empirical-survey"," A quality model for conceptual models which are intended to help in the early design of a software system. Quality attributes have been derived from the literature on conceptual models and validated through a survey."
"SOA [29]"," Goeb2011","model","internal characteristics,external characteristics","literature-based,logical implication"," A quality model for SOA systems which is built on the activity-based paradigm. Relationships between quality attributes are explicitly discussed and reasoned with existing literature and logical implication."
"ISO9126 [7, 22, 62, 72, 77, 104, 105, 121, 147]"," Hu2012","model","internal characteristics,external characteristics","literature-based"," A quality model specific to MATLAB/Simulink/Stateflow Models which is based on the ISO 9126 standard. Relationships are adopted from there, but metrics are presented specifically for the models in focus."
"ISO25010 [29, 38, 65, 66, 75, 107, 119, 131, 145]QuEF [26]"," DominguezMayo2012,DominguezMayo2010","model","internal characteristics,external characteristics","literature-based"," A quality model to evaluate methodologies used in model-driven engineering. Based on the quality attributes of the ISO 25010 standard, the quality model is enriched with attributes specific to model-driven engineering methodologies. To evaluate the so-called Navigational Development Techniques (NDT) methodolgy is evaluated."
